institute_norm,institute_standardized,institute_std_method,institute_std_source
dangme rural bank ltd,dangme rural bank,manual_map,fuzzy_confirmed
christ in me preparatory basic school,Christ In Me Preparatory Basic School,normalized_only,normalized_only
nagie s angels educational centre,Nagie S Angels Educational Centre,normalized_only,normalized_only
it,It,normalized_only,normalized_only
bosomtwe rural bank ltd,Bosomtwe Rural Bank Ltd,normalized_only,normalized_only
asubonteng rural bank ltd,asubonteng rural bank,manual_map,fuzzy_confirmed
akatakyiman rural bank ltd,akatakyiman rural bank,manual_map,fuzzy_confirmed
mumuadu rural bank,Mumuadu Rural Bank,normalized_only,normalized_only
unknown,unknown,manual_map,fuzzy_confirmed
bonzali rural bank ltd,Bonzali Rural Bank Ltd,normalized_only,normalized_only
bosome freho rural bank limite,bosome freho rural bank,manual_map,fuzzy_confirmed
good shepherd international jhs,Good Shepherd International Jhs,normalized_only,normalized_only
namic international school,Namic International School,normalized_only,normalized_only
fiaseman rural bank ltd,fiaseman rural bank,manual_map,fuzzy_confirmed
nsoatreman rural bank ltd,nsoatreman rural bank,manual_map,fuzzy_confirmed
lower pra rural bank ltd,lower pra rural bank,manual_map,fuzzy_confirmed
ruth academy,Ruth Academy,normalized_only,normalized_only
amenfiman rural bank ltd,amenfiman rural bank,manual_map,fuzzy_confirmed
opoku ware,opoku ware senior high,manual_map,fuzzy_confirmed
amansie west rural bank ltd,amansie west rural bank,manual_map,fuzzy_confirmed
asante akyem rural bank ltd,asante akyem rural bank,manual_map,fuzzy_confirmed
deks eductional institute,Deks Eductional Institute,normalized_only,normalized_only
ahafo ano premier rural bank ltd,Ahafo Ano Premier Rural Bank Ltd,normalized_only,normalized_only
ahafo community bank ltd,Ahafo Community Bank Ltd,normalized_only,normalized_only
pentecost basic school,Pentecost Basic School,normalized_only,normalized_only
asokore rural bank ltd,Asokore Rural Bank Ltd,normalized_only,normalized_only
melody sch,Melody Sch,normalized_only,normalized_only
nzema manle rural bank ltd,nzema manle rural bank,manual_map,fuzzy_confirmed
good shepherd schools,Good Shepherd Schools,normalized_only,normalized_only
west virginia university,West Virginia University,normalized_only,normalized_only
upper amenfi rural bank ltd,upper amenfi rural bank,manual_map,fuzzy_confirmed
starlife assurance,starlife assurance,manual_map,fuzzy_confirmed
opoku wee school,Opoku Wee School,normalized_only,normalized_only
nyaneba academy basic school,Nyaneba Academy Basic School,normalized_only,normalized_only
tupaso centre of excellence,Tupaso Centre Of Excellence,normalized_only,normalized_only
