institute_std,class_id,class_name,subscription_start_month,subscription_status,subscribed_learners,learners_with_attempts,completed_attempts,tests_attempted,cas_proxy_score_pct,invalid_subscription_date_count,subscribed_to_active_attempt_pct,cohort_context_status
(UQAM),354,Visual Arts for BECE,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
010207503517,262,Integrated Science for WASSCE,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
0501206293,250,AGENCY,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
0501206293,258,Elective Mathematics for WASSCE,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
0501206293,259,Core Mathematics for WASSCE,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
0501206293,356,Demo Class Do Not Subscribe To It.,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
0ffinso Community Bank PLC,520,RISK AND COMPLIANCE,2026-04,ACTIVE,1,0,0.0,0.0,,0,0.0,CONTEXT_ONLY
1,373,Economics for WASSCE,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
1,395,Financial Accounting for WASSCE,,FAILED,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
100 level,263,Biology for WASSCE,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
1111111111,352,Nursing,2021-07,EXPIRED,1,0,0.0,0.0,,0,0.0,CONTEXT_ONLY
1111111111,352,Nursing,,FAILED,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
2020,259,Core Mathematics for WASSCE,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
2nd Generation IT,5,History,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
2nd Generation IT,221,Fake News,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
2nd Generation IT,332,Organizational Behaviour,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
2nd Generation IT,395,Financial Accounting for WASSCE,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
2nd Generation IT,434,Constitutional Law,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
2nd Generation IT,535,Information Technology Jobs Employability Score,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
36nmtc,352,Nursing,2020-08,EXPIRED,1,1,1.0,1.0,54.0,0,100.0,CONTEXT_ONLY
36nmtc,352,Nursing,,FAILED,1,2,2.0,2.0,54.0,2,200.0,HAS_INVALID_DATE_FLAGS
36nmtc,391,Midwifery,2021-02,EXPIRED,1,1,7.0,2.0,58.0,0,100.0,CONTEXT_ONLY
37 MILITARY NURSING TRAINING COLLEGE,258,Elective Mathematics for WASSCE,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
37 MILITARY NURSING TRAINING COLLEGE,329,Physics for WASSCE,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
37 MILITARY NURSING TRAINING COLLEGE,352,Nursing,2020-09,EXPIRED,1,0,0.0,0.0,,0,0.0,CONTEXT_ONLY
37 MILITARY NURSING TRAINING COLLEGE,352,Nursing,2020-11,EXPIRED,1,0,0.0,0.0,,0,0.0,CONTEXT_ONLY
37 Millitary Nursing And Midwifery Training College,352,Nursing,2020-05,EXPIRED,1,0,0.0,0.0,,0,0.0,CONTEXT_ONLY
37 NMTC,25,Web Programming,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
37 NMTC,258,Elective Mathematics for WASSCE,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
37 NMTC,259,Core Mathematics for WASSCE,,,2,0,0.0,0.0,,2,0.0,HAS_INVALID_DATE_FLAGS
37 NMTC,262,Integrated Science for WASSCE,,,2,0,0.0,0.0,,2,0.0,HAS_INVALID_DATE_FLAGS
37 NMTC,289,Government for WASSCE,,,1,0,0.0,0.0,,1,0.0,HAS_INVALID_DATE_FLAGS
37 NMTC,352,Nursing,2019-10,EXPIRED,2,2,22.0,6.0,71.71864583333334,0,100.0,CONTEXT_ONLY
37 NMTC,352,Nursing,2019-11,EXPIRED,3,3,7.0,4.0,51.86666666666667,0,100.0,CONTEXT_ONLY
37 NMTC,352,Nursing,2020-01,EXPIRED,2,1,3.0,3.0,33.39,0,50.0,CONTEXT_ONLY
37 NMTC,352,Nursing,2020-05,EXPIRED,2,2,22.0,6.0,71.71864583333334,0,100.0,CONTEXT_ONLY
37 NMTC,352,Nursing,2020-08,EXPIRED,1,2,4.0,2.0,70.0,0,200.0,CONTEXT_ONLY
37 NMTC,352,Nursing,2020-09,EXPIRED,5,5,14.0,8.0,47.61666666666667,0,100.0,CONTEXT_ONLY
37 NMTC,352,Nursing,2021-02,EXPIRED,7,4,27.0,9.0,58.51898026315789,0,57.14,CONTEXT_ONLY
37 NMTC,352,Nursing,2021-03,EXPIRED,5,6,35.0,12.0,43.15211779448621,0,120.0,CONTEXT_ONLY
37 NMTC,352,Nursing,2021-07,EXPIRED,1,1,19.0,4.0,68.86842105263158,0,100.0,CONTEXT_ONLY
37 NMTC,352,Nursing,2021-09,EXPIRED,1,1,3.0,1.0,70.0,0,100.0,CONTEXT_ONLY
