institute_std,class_id,content_id,class_name,content_title,content_order,learner_count,attempt_count,question_count,avg_score_pct,avg_accuracy_expected_pct,avg_completion_pct,content_mapping_confidence,tas_proxy_score_pct,evidence_score,evidence_level
AFB,70,416.0,Audit & Compliance,What is Money Laundering?,1.0,4,4,2,86.28571428571429,86.28571428571429,100.0,HIGH,89.03,17.87,VERY_LOW
AFB,70,418.0,Audit & Compliance,Letshego Ghana's Risk Based Approach,1.0,2,2,1,82.0,82.0,100.0,HIGH,85.6,12.27,VERY_LOW
AFB GHANA LTD,70,422.0,Audit & Compliance,SUSPICIOUS TRANSACTION REPORTING,10.0,1,1,1,80.0,80.0,100.0,HIGH,84.0,9.47,VERY_LOW
Accra,262,2327.0,Integrated Science for WASSCE,Radioactivity,1.0,1,1,32,44.23,44.23,100.0,HIGH,55.38,9.47,VERY_LOW
Accra,262,2376.0,Integrated Science for WASSCE,"Forces, Motion And Pressure",1.0,1,1,10,44.23,44.23,100.0,HIGH,55.38,9.47,VERY_LOW
Accra,262,2386.0,Integrated Science for WASSCE,Pressure,1.0,1,1,5,44.23,44.23,100.0,HIGH,55.38,9.47,VERY_LOW
Accra,262,4720.0,Integrated Science for WASSCE,Preparation of Gases,1.0,1,1,4,44.23,44.23,100.0,HIGH,55.38,9.47,VERY_LOW
Accra,262,4723.0,Integrated Science for WASSCE,Rates of Reaction,1.0,1,1,1,44.23,44.23,100.0,HIGH,55.38,9.47,VERY_LOW
Accra Academy,262,2327.0,Integrated Science for WASSCE,Radioactivity,1.0,1,1,32,3.85,3.85,100.0,HIGH,23.08,9.47,VERY_LOW
Accra Academy,262,2376.0,Integrated Science for WASSCE,"Forces, Motion And Pressure",1.0,1,1,10,3.85,3.85,100.0,HIGH,23.08,9.47,VERY_LOW
Accra Academy,262,2386.0,Integrated Science for WASSCE,Pressure,1.0,1,1,5,3.85,3.85,100.0,HIGH,23.08,9.47,VERY_LOW
Accra Academy,262,2493.0,Integrated Science for WASSCE,Reproduction And Growth In Plants,1.0,1,1,28,51.67,51.67,100.0,HIGH,61.34,9.47,VERY_LOW
Accra Academy,262,2520.0,Integrated Science for WASSCE,Respiratory System,1.0,1,1,31,51.67,51.67,100.0,HIGH,61.34,9.47,VERY_LOW
Accra Academy,262,4720.0,Integrated Science for WASSCE,Preparation of Gases,1.0,1,1,4,3.85,3.85,100.0,HIGH,23.08,9.47,VERY_LOW
Accra Academy,262,4723.0,Integrated Science for WASSCE,Rates of Reaction,1.0,1,1,1,3.85,3.85,100.0,HIGH,23.08,9.47,VERY_LOW
Accra Academy,262,4724.0,Integrated Science for WASSCE,Tectonic Movements,1.0,1,1,1,51.67,51.67,100.0,HIGH,61.34,9.47,VERY_LOW
Afb,70,416.0,Audit & Compliance,What is Money Laundering?,1.0,1,1,1,100.0,100.0,100.0,HIGH,100.0,9.47,VERY_LOW
Afb,70,422.0,Audit & Compliance,SUSPICIOUS TRANSACTION REPORTING,10.0,1,1,1,100.0,100.0,100.0,HIGH,100.0,9.47,VERY_LOW
Armed Forces Senior Technical,262,2124.0,Integrated Science for WASSCE,"Transport-diffusion, Osmosis And Plasmolysis",1.0,1,1,18,21.43,21.43,100.0,HIGH,37.14,9.47,VERY_LOW
