institute_std,subscription_start_month,class_bundle_signature,class_count,learner_count,core_subject_count,bundle_confidence
(UQAM),,354,1,1,1,LOW
010207503517,,262,1,1,1,LOW
0501206293,,250|258|259|356,4,1,4,LOW
0ffinso Community Bank PLC,2026-04,520,1,1,1,LOW
1,,373|395,2,1,2,LOW
100 level,,263,1,1,1,LOW
1111111111,2021-07,352,1,1,1,LOW
1111111111,,352,1,1,1,LOW
2020,,259,1,1,1,LOW
2nd Generation IT,,221|332|395|434|5|535,6,1,4,LOW
36nmtc,2020-08,352,1,1,1,LOW
36nmtc,2021-02,391,1,1,1,LOW
36nmtc,,352,1,1,1,LOW
37 MILITARY NURSING TRAINING COLLEGE,2020-09,352,1,1,1,LOW
37 MILITARY NURSING TRAINING COLLEGE,2020-11,352,1,1,1,LOW
37 MILITARY NURSING TRAINING COLLEGE,,258|329,2,1,2,LOW
37 Millitary Nursing And Midwifery Training College,2020-05,352,1,1,1,LOW
37 NMTC,2019-10,352,1,2,1,LOW
37 NMTC,2019-11,352,1,3,1,LOW
37 NMTC,2020-01,352,1,2,1,LOW
37 NMTC,2020-05,352,1,2,1,LOW
37 NMTC,2020-08,352|391,2,1,2,LOW
37 NMTC,2020-08,391,1,7,1,LOW
37 NMTC,2020-09,352,1,5,1,LOW
37 NMTC,2021-02,352,1,6,1,LOW
37 NMTC,2021-02,352|391,2,1,2,LOW
37 NMTC,2021-03,352,1,5,1,LOW
37 NMTC,2021-04,391,1,1,1,LOW
37 NMTC,2021-07,352,1,1,1,LOW
37 NMTC,2021-09,352,1,1,1,LOW
37 NMTC,2021-10,352,1,1,1,LOW
37 NMTC,2021-10,391,1,1,1,LOW
37 NMTC,2022-04,352,1,1,1,LOW
37 NMTC,2022-10,391,1,1,1,LOW
37 NMTC,,258|352,2,1,2,LOW
37 NMTC,,259,1,1,1,LOW
37 NMTC,,259|433|434,3,1,3,LOW
37 NMTC,,25|262,2,1,2,LOW
37 NMTC,,262,1,1,1,LOW
37 NMTC,,289|352,2,1,2,LOW
37 NMTC,,352,1,2,1,LOW
37 NMTC,,391,1,3,1,LOW
37 Nursing,2020-08,352,1,1,1,LOW
37 Nursing Training College,2020-08,391,1,1,1,LOW
37 Nursing Training College,2020-09,352,1,1,1,LOW
37 Nursing Training College,,261,1,1,1,LOW
37 Nursing and Midwifery,2020-01,352,1,1,1,LOW
37 military NMTC,2020-03,352,1,2,1,LOW
37 military NMTC,,263,1,1,1,LOW
37 military hospital,2019-11,352,1,1,1,LOW
37 military hospital,,336,1,1,1,LOW
37 military hospital nmtc,2020-08,391,1,1,1,LOW
37 military hospital nmtc,2020-09,352,1,1,1,LOW
37 military hospital nmtc,2021-02,352,1,1,1,LOW
37 military hospital nmtc,,259|262,2,1,2,LOW
37 military hospital nursing and midwifery training school,2021-02,352|391,2,1,2,LOW
37 military nursing college,2019-11,352,1,1,1,LOW
37 nmc,2020-08,391,1,1,1,LOW
37 nurses training school,2019-11,352,1,1,1,LOW
37 nurses training school,,352,1,1,1,LOW
37 nursing and midwifery college,2019-11,352,1,1,1,LOW
37 nursing and midwifery training college,2020-06,391,1,1,1,LOW
37 nursing and midwifery training college,2020-08,391,1,3,1,LOW
37 nursing and midwifery training college,2020-11,391,1,1,1,LOW
37 nursing and midwifery training college,2021-02,352,1,1,1,LOW
37 nursing and midwifery training college,2021-02,391,1,1,1,LOW
37 nursing and midwifery training college,,391,1,1,1,LOW
37 nursing college,2021-02,352,1,1,1,LOW
37 nursing training,2021-02,352,1,1,1,LOW
37MNTC,2020-08,391,1,1,1,LOW
37MNTC,2022-04,352,1,1,1,LOW
37Military NMTC,2020-08,391,1,1,1,LOW
37millitary Nursing and Midwifery training college,2020-08,391,1,1,1,LOW
37millitary Nursing and Midwifery training college,2021-02,352|391,2,1,2,LOW
37nmc,2021-02,352|391,2,1,2,LOW
37nmc,,262|29,2,1,2,LOW
37nmtc,2019-10,352,1,2,1,LOW
37nmtc,2019-11,352,1,12,1,LOW
37nmtc,2020-01,352,1,1,1,LOW
37nmtc,2020-05,352,1,1,1,LOW
37nmtc,2020-06,352,1,1,1,LOW
37nmtc,2020-08,352,1,4,1,LOW
37nmtc,2020-08,352|391,2,5,2,LOW
37nmtc,2020-08,391,1,26,1,LOW
37nmtc,2020-09,352,1,18,1,LOW
37nmtc,2020-10,391,1,1,1,LOW
37nmtc,2020-11,391,1,1,1,LOW
37nmtc,2020-12,391,1,1,1,LOW
37nmtc,2021-02,352,1,6,1,LOW
37nmtc,2021-02,352|391,2,1,2,LOW
37nmtc,2021-02,391,1,2,1,LOW
37nmtc,2021-05,352,1,1,1,LOW
37nmtc,2021-07,352,1,1,1,LOW
37nmtc,2021-08,352,1,1,1,LOW
37nmtc,2021-09,352,1,1,1,LOW
37nmtc,2021-09,391,1,1,1,LOW
37nmtc,2021-10,352,1,1,1,LOW
37nmtc,2022-09,391,1,2,1,LOW
37nmtc,2022-10,352|391,2,2,2,LOW
37nmtc,,219,1,1,1,LOW
37nmtc,,256|259,2,1,2,LOW
37nmtc,,262,1,15,1,LOW
37nmtc,,262|352,2,1,2,LOW
37nmtc,,262|391,2,1,2,LOW
37nmtc,,267,1,1,1,LOW
37nmtc,,29|391,2,1,2,LOW
37nmtc,,352,1,7,1,LOW
37nmtc,,352|391,2,1,2,LOW
37nmtc,,391,1,3,1,LOW
3fb3e5,2020-03,258|259|262|263|329,5,1,4,LOW
3fb3e5,2021-02,391,1,1,1,LOW
46 sector chandigarh,,373,1,1,1,LOW
A student,,262,1,1,1,LOW
AAMUSTED,,257|395|572,3,1,3,LOW
ABASS,,263,1,1,1,LOW
ABCDE,2019-11,253,1,1,1,LOW
ABCDE,2020-02,253,1,1,1,LOW
ABCDE,2020-03,260,1,1,1,LOW
ABCDE,2020-03,373,1,1,1,LOW
ABCDE,2020-04,262|397,2,1,2,LOW
ABCDE,,258|259,2,1,2,LOW
ABCDE,,259|262|289|291,4,1,4,LOW
ABCDE,,259|273|336,3,1,3,LOW
ABCDE,,261,1,1,1,LOW
ABCDE,,329,1,1,1,LOW
ABOKOBI AREA RURAL BANK LTD.,2023-08,520,1,1,1,LOW
ABOKOBI AREA RURAL BANK LTD.,2024-01,520|521|522|523|524|525|526|527|528|529|530|531|532|533|534,15,28,4,MEDIUM
ABOKOBI AREA RURAL BANK LTD.,2025-08,356,1,77,1,LOW
ABOKOBI AREA RURAL BANK LTD.,2025-08,356|520,2,1,2,LOW
ABOKOBI AREA RURAL BANK LTD.,2025-08,520,1,1,1,LOW
ABOKOBI AREA RURAL BANK LTD.,2025-11,520,1,75,1,LOW
