user_id,institute_std,attempt_count,completed_attempt_count,class_count,test_count,avg_score_pct,avg_accuracy_expected_pct,avg_completion_pct,latest_attempt_at,ready_class_count,at_risk_class_count,overall_readiness_band,evidence_level
11,DANGME RURAL BANK LTD.,2,4,1,2,85.0,85.0,100.0,2026-04-16 10:49:51,1,0,READY,VERY_LOW
54,BOSOMTWE RURAL BANK LTD.,2,7,1,2,83.33,83.33,100.0,2026-04-12 15:32:35,1,0,READY,VERY_LOW
202,BONZALI RURAL BANK LTD.,3,5,1,3,92.22333333333334,92.22333333333334,100.0,2026-04-08 11:43:26,1,0,READY,LOW
416,NSOATREMAN RURAL BANK LTD.,1,2,1,1,83.33,83.33,100.0,2025-11-11 03:17:40,1,0,READY,VERY_LOW
426,LOWER PRA RURAL BANK LTD.,1,2,1,1,80.0,80.0,100.0,2026-04-13 13:54:03,1,0,READY,VERY_LOW
458,AMENFIMAN RURAL BANK LTD.,2,2,1,2,93.33500000000001,93.33500000000001,100.0,2026-04-13 07:11:58,1,0,READY,VERY_LOW
516,abeaseman shs,7,19,2,7,28.333333333333332,28.333333333333332,100.0,2026-02-23 20:30:43,0,2,AT_RISK,LOW
823,NZEMA MANLE RURAL BANK LTD.,1,2,1,1,100.0,100.0,100.0,2026-04-13 18:10:04,1,0,READY,VERY_LOW
961,NZEMA MANLE RURAL BANK LTD.,2,31,1,2,83.33500000000001,83.33500000000001,100.0,2026-04-13 20:44:42,1,0,READY,VERY_LOW
1035,ASANTE AKYEM RURAL BANK LTD.,2,4,1,2,90.0,90.0,100.0,2026-04-09 17:57:58,1,0,READY,VERY_LOW
1094,NZEMA MANLE RURAL BANK LTD.,1,7,1,1,100.0,100.0,100.0,2025-11-10 18:17:15,1,0,READY,VERY_LOW
1188,UPPER AMENFI RURAL BANK LTD.,1,9,1,1,100.0,100.0,100.0,2025-11-08 17:57:35,1,0,READY,VERY_LOW
1363,NSOATREMAN RURAL BANK LTD.,1,1,1,1,100.0,100.0,100.0,2025-11-08 16:03:21,1,0,READY,VERY_LOW
1494,AMANSIE WEST RURAL BANK LTD.,1,2,1,1,90.0,90.0,100.0,2025-11-05 07:16:24,1,0,READY,VERY_LOW
1668,NZEMA MANLE RURAL BANK LTD.,2,8,1,2,85.0,85.0,100.0,2026-04-13 17:50:36,1,0,READY,VERY_LOW
1670,Golden Gate International School,1,1,1,1,17.5,17.5,100.0,2023-11-07 17:10:29,0,1,AT_RISK,VERY_LOW
1694,KWAHU PRASO RURAL BANK LTD.,2,3,1,2,95.0,95.0,100.0,2026-04-16 19:40:13,1,0,READY,VERY_LOW
1782,ATWIMA RURAL BANK LTD.,1,1,1,1,83.33,83.33,100.0,2026-04-13 13:28:45,1,0,READY,VERY_LOW
1985,ARB APEX BANK PLC,1,3,1,1,90.0,90.0,100.0,2026-04-13 18:06:40,1,0,READY,VERY_LOW
2353,ODOTOBRI RURAL BANK LTD.,1,1,1,1,83.33,83.33,100.0,2025-11-05 10:04:42,1,0,READY,VERY_LOW
2373,KINTAMPO RURAL BANK LTD.,2,5,1,2,83.33,83.33,100.0,2026-04-16 22:30:35,1,0,READY,VERY_LOW
2374,UPPER AMENFI RURAL BANK LTD.,2,2,1,2,96.66499999999999,96.66499999999999,100.0,2026-04-12 18:06:45,1,0,READY,VERY_LOW
2394,Starlife Assurance,2,2,2,2,74.66499999999999,74.66499999999999,100.0,2026-05-14 09:52:06,1,0,READY,VERY_LOW
2626,AVENOR RURAL BANK LTD.,1,2,1,1,80.0,80.0,100.0,2026-04-11 07:11:19,1,0,READY,VERY_LOW
2723,FIASEMAN RURAL BANK LTD.,2,3,1,2,93.33500000000001,93.33500000000001,100.0,2026-04-13 17:33:55,1,0,READY,VERY_LOW
3204,EAST AKIM RURAL BANK LTD.,1,1,1,1,100.0,100.0,100.0,2025-11-10 12:51:29,1,0,READY,VERY_LOW
3497,CAPITAL RURAL BANK PLC,2,2,1,2,93.33500000000001,93.33500000000001,100.0,2026-04-09 08:44:14,1,0,READY,VERY_LOW
3515,ANLO RURAL BANK LIMITED,3,5,1,3,82.22333333333334,82.22333333333334,100.0,2026-04-14 17:38:01,1,0,READY,LOW
3669,AMANSIE WEST RURAL BANK LTD.,1,2,1,1,80.0,80.0,100.0,2025-11-04 17:29:50,1,0,READY,VERY_LOW
3715,KaPPS,4,16,4,4,88.125,88.125,100.0,2026-04-17 15:33:24,4,0,READY,VERY_LOW
3768,ARB APEX BANK PLC,2,2,1,2,95.0,95.0,100.0,2025-11-28 10:31:16,1,0,READY,VERY_LOW
3921,KAASEMAN RURAL BANK LTD.,1,2,1,1,93.33,93.33,100.0,2026-04-12 22:30:54,1,0,READY,VERY_LOW
4227,UPPER AMENFI RURAL BANK LTD.,2,3,1,2,93.33500000000001,93.33500000000001,100.0,2026-04-12 21:45:41,1,0,READY,VERY_LOW
4257,AVENOR RURAL BANK LTD.,1,2,1,1,93.33,93.33,100.0,2026-04-13 12:15:45,1,0,READY,VERY_LOW
4443,OKOMFO ANOKYE RURAL BANK LTD.,1,2,1,1,86.67,86.67,100.0,2026-04-13 15:23:03,1,0,READY,VERY_LOW
4557,UPPER MANYA KRO RURAL BANK LTD,1,1,1,1,96.67,96.67,100.0,2025-05-02 16:11:03,1,0,READY,VERY_LOW
4598,UPPER AMENFI RURAL BANK LTD.,2,3,1,2,95.0,95.0,100.0,2026-04-13 17:31:02,1,0,READY,VERY_LOW
4622,ASOKORE MAMPONG RURAL BANK LTD.,2,2,1,2,91.66499999999999,91.66499999999999,100.0,2026-04-13 18:49:49,1,0,READY,VERY_LOW
4640,KAASEMAN RURAL BANK LTD.,2,2,1,2,85.0,85.0,100.0,2026-04-13 18:06:04,1,0,READY,VERY_LOW
4692,BRAKWA BREMAN RURAL BANK LTD.,1,1,1,1,83.33,83.33,100.0,2026-04-15 12:48:46,1,0,READY,VERY_LOW
4736,NZEMA MANLE RURAL BANK LTD.,2,4,1,2,96.66499999999999,96.66499999999999,100.0,2026-04-08 17:01:31,1,0,READY,VERY_LOW
4813,kapps,4,8,4,4,75.0,75.0,100.0,2026-03-10 16:08:13,4,0,READY,VERY_LOW
4868,AMENFIMAN RURAL BANK LTD.,2,2,1,2,91.66499999999999,91.66499999999999,100.0,2026-04-13 18:24:09,1,0,READY,VERY_LOW
