user_id,institute_std,class_id,avg_score_pct,avg_accuracy_expected_pct,avg_completion_pct,attempt_count,test_count,question_evidence_count,repeat_attempt_available_flag,readiness_score_pct,evidence_score,evidence_level,low_evidence_flag,readiness_eligible_flag,readiness_block_reason,readiness_band,readiness_confidence_level
11,DANGME RURAL BANK LTD.,520,85.0,85.0,100.0,2,2,2,1,88.0,16.93,VERY_LOW,0,1,none,READY,VERY_LOW
54,BOSOMTWE RURAL BANK LTD.,520,83.33,83.33,100.0,2,2,2,1,86.66,16.93,VERY_LOW,0,1,none,READY,VERY_LOW
202,BONZALI RURAL BANK LTD.,520,92.22333333333334,92.22333333333334,100.0,3,3,3,1,93.78,24.4,LOW,0,1,none,READY,LOW
416,NSOATREMAN RURAL BANK LTD.,520,83.33,83.33,100.0,1,1,1,1,86.66,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
426,LOWER PRA RURAL BANK LTD.,520,80.0,80.0,100.0,1,1,1,1,84.0,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
458,AMENFIMAN RURAL BANK LTD.,520,93.33500000000001,93.33500000000001,100.0,2,2,2,0,94.67,16.93,VERY_LOW,0,1,none,READY,VERY_LOW
516,abeaseman shs,596,20.0,20.0,100.0,4,4,4,1,36.0,25.2,LOW,0,1,none,AT_RISK,LOW
516,abeaseman shs,597,36.666666666666664,36.666666666666664,100.0,3,3,3,1,49.33,24.4,LOW,0,1,none,AT_RISK,LOW
823,NZEMA MANLE RURAL BANK LTD.,520,100.0,100.0,100.0,1,1,1,1,100.0,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
961,NZEMA MANLE RURAL BANK LTD.,520,83.33500000000001,83.33500000000001,100.0,2,2,2,1,86.67,16.93,VERY_LOW,0,1,none,READY,VERY_LOW
1035,ASANTE AKYEM RURAL BANK LTD.,520,90.0,90.0,100.0,2,2,2,1,92.0,16.93,VERY_LOW,0,1,none,READY,VERY_LOW
1094,NZEMA MANLE RURAL BANK LTD.,520,100.0,100.0,100.0,1,1,1,1,100.0,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
1188,UPPER AMENFI RURAL BANK LTD.,520,100.0,100.0,100.0,1,1,1,1,100.0,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
1363,NSOATREMAN RURAL BANK LTD.,520,100.0,100.0,100.0,1,1,1,0,100.0,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
1494,AMANSIE WEST RURAL BANK LTD.,520,90.0,90.0,100.0,1,1,1,1,92.0,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
1668,NZEMA MANLE RURAL BANK LTD.,520,85.0,85.0,100.0,2,2,2,1,88.0,16.93,VERY_LOW,0,1,none,READY,VERY_LOW
1670,Golden Gate International School,256,17.5,17.5,100.0,1,1,1,0,34.0,9.47,VERY_LOW,1,1,none,AT_RISK,VERY_LOW
1694,KWAHU PRASO RURAL BANK LTD.,520,95.0,95.0,100.0,2,2,2,1,96.0,16.93,VERY_LOW,0,1,none,READY,VERY_LOW
1782,ATWIMA RURAL BANK LTD.,520,83.33,83.33,100.0,1,1,1,0,86.66,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
1985,ARB APEX BANK PLC,520,90.0,90.0,100.0,1,1,1,1,92.0,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
2353,ODOTOBRI RURAL BANK LTD.,520,83.33,83.33,100.0,1,1,1,0,86.66,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
2373,KINTAMPO RURAL BANK LTD.,520,83.33,83.33,100.0,2,2,2,1,86.66,16.93,VERY_LOW,0,1,none,READY,VERY_LOW
2374,UPPER AMENFI RURAL BANK LTD.,520,96.66499999999999,96.66499999999999,100.0,2,2,2,0,97.33,16.93,VERY_LOW,0,1,none,READY,VERY_LOW
2394,Starlife Assurance,600,93.33,93.33,100.0,1,1,1,0,94.66,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
2394,Starlife Assurance,601,56.0,56.0,100.0,1,1,1,0,64.8,9.47,VERY_LOW,1,1,none,NEAR_READY,VERY_LOW
2626,AVENOR RURAL BANK LTD.,520,80.0,80.0,100.0,1,1,1,1,84.0,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
2723,FIASEMAN RURAL BANK LTD.,520,93.33500000000001,93.33500000000001,100.0,2,2,2,1,94.67,16.93,VERY_LOW,0,1,none,READY,VERY_LOW
3204,EAST AKIM RURAL BANK LTD.,520,100.0,100.0,100.0,1,1,1,0,100.0,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
3497,CAPITAL RURAL BANK PLC,520,93.33500000000001,93.33500000000001,100.0,2,2,2,0,94.67,16.93,VERY_LOW,0,1,none,READY,VERY_LOW
3515,ANLO RURAL BANK LIMITED,520,82.22333333333334,82.22333333333334,100.0,3,3,3,1,85.78,24.4,LOW,0,1,none,READY,LOW
3669,AMANSIE WEST RURAL BANK LTD.,520,80.0,80.0,100.0,1,1,1,1,84.0,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
3715,KaPPS,623,80.0,80.0,100.0,1,1,1,1,84.0,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
3715,KaPPS,624,82.5,82.5,100.0,1,1,1,1,86.0,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
3715,KaPPS,626,97.5,97.5,100.0,1,1,1,1,98.0,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
3715,KaPPS,627,92.5,92.5,100.0,1,1,1,1,94.0,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
3768,ARB APEX BANK PLC,520,95.0,95.0,100.0,2,2,2,0,96.0,16.93,VERY_LOW,0,1,none,READY,VERY_LOW
3921,KAASEMAN RURAL BANK LTD.,520,93.33,93.33,100.0,1,1,1,1,94.66,9.47,VERY_LOW,1,1,none,READY,VERY_LOW
