institute_std,learner_count,active_learner_count,class_count,attempt_count,avg_cas_proxy_score_pct,ready_subject_count,at_risk_subject_count,missing_institute_excluded_count,evidence_level,dq_warning_count
2213,1,1,1,1,32.98,0,1,0,VERY_LOW,1
36nmtc,2,1,2,3,71.2,1,0,0,VERY_LOW,1
37 NMTC,19,17,2,37,68.2,0,0,0,MEDIUM,17
37 Nmtc,1,1,1,3,87.73,1,0,0,LOW,0
37 Nursing,1,1,1,2,80.8,1,0,0,VERY_LOW,0
37 Nursing Training College,1,1,1,3,82.6,1,0,0,LOW,2
37 Nursing and Midwifery Training College,1,1,1,2,72.0,1,0,0,VERY_LOW,0
37 Nursing and midwifery training school,1,1,1,1,24.8,0,1,0,VERY_LOW,1
37 military Hospital NMTC,1,1,1,1,67.34,0,0,0,VERY_LOW,1
37 military NMTC,1,1,1,4,81.78,1,0,0,LOW,0
37 military hospital nmtc,1,1,1,1,92.0,1,0,0,VERY_LOW,0
37 military hospital nursing and midwifery training school,1,1,1,1,69.6,0,0,0,VERY_LOW,0
37 military training,1,1,1,2,75.6,1,0,0,VERY_LOW,2
37 nmtc,9,9,2,12,65.58,0,0,0,LOW,8
37 nursing and midwifery college,1,1,1,2,47.2,0,1,0,VERY_LOW,1
37 nursing and midwifery training college,1,1,1,1,39.2,0,1,0,VERY_LOW,1
37 nursing training,1,1,1,1,82.4,1,0,0,VERY_LOW,0
"37,NMTC",1,1,1,1,52.0,0,1,0,VERY_LOW,0
37MNTC,1,1,1,1,23.2,0,1,0,VERY_LOW,1
37NMTC,33,33,2,61,71.515,1,0,0,MEDIUM,34
37Nmtc,7,6,2,10,72.34,1,0,0,LOW,6
37millitary Nursing and Midwifery training college,1,1,1,2,29.6,0,1,0,VERY_LOW,1
37nmc,2,2,2,5,60.0,0,0,0,VERY_LOW,5
37nmtc,28,26,2,45,64.88499999999999,1,0,0,MEDIUM,26
ABCDE,4,4,3,4,65.33333333333333,1,1,0,VERY_LOW,4
ABEASEMAN SENIOR HIGH SCHOOL,2,1,2,4,62.0,0,0,0,VERY_LOW,0
ABEASEMAN SHS,5,2,5,6,49.6,0,3,0,VERY_LOW,2
ABOKOBI AREA RURAL BANK LTD,3,3,1,4,95.58,1,0,0,LOW,3
ABOKOBI AREA RURAL BANK LTD.,91,91,1,161,96.27,1,0,0,HIGH,122
ADA RURAL BANK LTD,4,3,2,9,88.5,2,0,0,LOW,5
ADA RURAL BANK LTD.,25,25,1,37,89.41,1,0,0,HIGH,27
ADANSI COMMUNITY BANK,1,1,1,1,97.34,1,0,0,VERY_LOW,1
ADANSI RURAL BANK LIMITED,42,42,2,78,97.46000000000001,2,0,0,MEDIUM,55
ADANSI RURAL BANK LTD.,92,92,1,160,94.54,1,0,0,HIGH,124
ADONTEN COMMUNITY BANK LTD.,25,26,1,26,86.97,1,0,0,MEDIUM,23
AFB,6,6,1,51,93.23,1,0,0,MEDIUM,28
AFB GHANA LTD,1,1,1,1,84.0,1,0,0,VERY_LOW,1
AFB Letshego,1,1,1,11,91.03,1,0,0,LOW,11
AFRAM RURAL BANK LTD.,10,10,1,10,92.0,1,0,0,LOW,6
AGAVE RURAL BANK LTD.,2,2,1,2,92.0,1,0,0,VERY_LOW,1
AGONA RURAL BANK LTD.,7,9,1,7,90.86,1,0,0,LOW,3
AHAFO ANO PREMIER RURAL BANK L,2,2,1,2,96.0,1,0,0,VERY_LOW,1
AHAFO ANO PREMIER RURAL BANK LTD,1,1,1,1,100.0,1,0,0,VERY_LOW,0
AHANTAMAN RURAL BANK LTD.,151,151,1,213,93.98,1,0,0,HIGH,114
AHANTAMAN RURAL BANK PLC,2,2,1,2,96.0,1,0,0,VERY_LOW,1
AIT,1,1,1,1,46.0,0,1,0,VERY_LOW,1
AITI KOFI ANNAN,1,1,1,1,84.0,1,0,0,VERY_LOW,1
AKATAKYIMAN RURAL BANK LTD.,11,12,1,13,94.74,1,0,0,LOW,8
AKATAKYIMAN RURAL BANK PLC,1,1,1,1,94.66,1,0,0,VERY_LOW,1
AKIM BOSOME RURAL BANK,1,1,1,1,97.34,1,0,0,VERY_LOW,1
AKIM BOSOME RURAL BANK LIMITED,8,8,1,8,95.0,1,0,0,LOW,4
AKIM BOSOME RURAL BANK LTD,1,1,1,1,92.0,1,0,0,VERY_LOW,1
AKIM BOSOME RURAL BANK LTD.,4,4,1,4,92.0,1,0,0,VERY_LOW,2
AKIMBO,1,1,1,1,86.66,1,0,0,VERY_LOW,1
AKUAPEM RURAL BANK LTD.,123,124,1,163,90.65,1,0,0,HIGH,101
AMANANO RURAL BANK LTD.,1,1,1,2,97.33,1,0,0,VERY_LOW,1
AMANSIE WEST RURAL BANK LTD.,166,166,1,292,93.1,1,0,0,HIGH,200
AMANTIN & KASEI COMM. BANK LTD,3,3,1,3,92.89,1,0,0,VERY_LOW,1
AMENFIMAN RURAL BANK LTD.,486,487,1,712,94.92,1,0,0,HIGH,519
AMENFIMAN RURAL BANK PLC,1,1,1,2,93.34,1,0,0,VERY_LOW,0
AMUGA RURAL BANK LTD.,59,58,3,92,71.76333333333334,2,1,0,LOW,52
ANLO RURAL BANK LIMITED,38,38,1,84,92.32,1,0,0,HIGH,35
ANLO RURAL BANK LTD.,20,20,1,25,94.24,1,0,0,HIGH,19
ANUM RURAL BANK LIMITED,15,15,1,28,95.05,1,0,0,MEDIUM,19
ANUM RURAL BANK LTD.,69,70,1,118,94.97,1,0,0,HIGH,78
ARB APEX BANK PLC,327,329,2,599,86.83500000000001,2,0,0,MEDIUM,428
ARB Apex Bank PLC,5,4,2,11,97.465,2,0,0,LOW,8
ASANTE AKYEM RURAL BANK LTD,1,1,1,2,93.33,1,0,0,VERY_LOW,2
ASANTE AKYEM RURAL BANK LTD.,61,61,1,108,93.55,1,0,0,HIGH,68
ASOKORE MAMPONG RURAL BANK LIM,4,4,1,6,96.44,1,0,0,LOW,5
ASOKORE MAMPONG RURAL BANK LTD.,30,30,1,51,94.25,1,0,0,HIGH,40
ASOKORE RURAL BANK LTD,3,3,1,3,92.89,1,0,0,VERY_LOW,3
ASOKORE RURAL BANK LTD.,100,100,1,100,94.64,1,0,0,HIGH,88
ASOKORE RURAL BANK PLC,2,2,1,2,92.0,1,0,0,VERY_LOW,2
ASSINMAN RURAL BANK LIMITED,1,1,1,1,94.66,1,0,0,VERY_LOW,0
ASSINMAN RURAL BANK LTD.,63,63,1,104,92.25,1,0,0,HIGH,62
ASUBONTENG RURAL BANK LTD.,10,10,1,16,89.5,1,0,0,LOW,5
ASUTIFI RURAL BANK LTD.,42,43,1,48,92.6,1,0,0,HIGH,34
ATIWA RURAL BANK LTD,43,44,1,69,93.75,1,0,0,HIGH,45
ATIWA RURAL BANK LTD.,42,42,1,55,94.0,1,0,0,HIGH,37
ATU,1,1,1,1,42.4,0,1,0,VERY_LOW,1
ATWIMA KWANWOMA RURAL BANK LTD.,4,4,1,5,95.2,1,0,0,LOW,3
ATWIMA KWANWOMA RURAL BANK PLC,1,1,1,1,92.0,1,0,0,VERY_LOW,1
ATWIMA MPONUA RURAL BANK LTD.,79,83,1,110,90.67,1,0,0,HIGH,65
ATWIMA RURAL BANK LTD,13,13,1,17,89.02,1,0,0,MEDIUM,11
ATWIMA RURAL BANK LTD.,33,33,1,36,90.15,1,0,0,HIGH,24
AVENOR RURAL BANK LTD.,43,43,1,43,92.56,1,0,0,HIGH,36
AVENOR RURAL BANK PLC,1,1,1,1,86.66,1,0,0,VERY_LOW,1
AWUTU EMASA RURAL BANK LTD,1,1,1,1,94.66,1,0,0,VERY_LOW,0
AWUTU EMASA RURAL BANK LTD.,46,45,2,69,57.26,1,1,0,MEDIUM,39
AWUTU EMASA RURAL Bank,1,1,1,1,97.34,1,0,0,VERY_LOW,1
Abeaseman SHS,4,2,4,4,40.0,0,3,0,VERY_LOW,0
Abeaseman Senior High School,5,2,4,10,54.667500000000004,0,2,0,VERY_LOW,1
Abeaseman senior high school,1,1,1,1,68.0,0,0,0,VERY_LOW,0
Abetifi technical institu,1,1,1,1,52.0,0,1,0,VERY_LOW,1
Abuakwa State College,1,1,1,1,49.83,0,1,0,VERY_LOW,1
Aburi Girls Senior High School,1,1,1,1,42.0,0,1,0,VERY_LOW,1
Abutia E.P.J.H.S,1,1,1,1,66.4,0,0,0,VERY_LOW,1
Abutia Kloe JHS,1,1,1,1,93.85,1,0,0,VERY_LOW,1
Abutia Teti E. p. JHS,2,1,2,3,48.39,0,2,0,VERY_LOW,3
Abutia Teti EP jhs,2,1,2,2,52.0,0,1,0,VERY_LOW,1
Abutia Teti R.C. JHS,2,1,2,3,44.254999999999995,0,2,0,VERY_LOW,2
Abutia Teti RC Basic School,1,1,1,1,70.0,1,0,0,VERY_LOW,0
Abutia Teti ep jhs,2,1,2,9,65.95,1,0,0,LOW,4
Abutia teti EP jhs,3,1,3,7,46.663333333333334,0,2,0,VERY_LOW,2
Accelerex Ghana,1,1,1,1,89.34,1,0,0,VERY_LOW,0
Accellus Academy,1,1,1,1,52.0,0,1,0,VERY_LOW,1
Accra,2,2,2,2,55.69,0,0,0,VERY_LOW,2
Accra Academy,7,4,5,8,46.257999999999996,0,3,0,VERY_LOW,7
Accra Girls,1,1,1,1,72.0,1,0,0,VERY_LOW,1
Accra Girls' senior high,1,1,1,1,68.0,0,0,0,VERY_LOW,1
Accra Polytechnic,1,1,1,8,94.24,1,0,0,LOW,6
