user_id,institute_std,class_id,avg_speed_qpm,avg_accuracy_expected_pct,avg_completion_pct,avg_time_taken_minutes,speed_valid_attempt_count,work_habits_score,work_habits_band,evidence_score,evidence_level
11,DANGME RURAL BANK LTD.,520,95.0,85.0,100.0,0.315,2,93.25,STRONG,10.27,VERY_LOW
54,BOSOMTWE RURAL BANK LTD.,520,85.215,83.33,100.0,0.475,2,92.5,STRONG,10.27,VERY_LOW
202,BONZALI RURAL BANK LTD.,520,83.75,92.22333333333334,100.0,0.39333333333333337,3,96.5,STRONG,11.07,VERY_LOW
416,NSOATREMAN RURAL BANK LTD.,520,72.0,83.33,100.0,0.42,1,92.5,STRONG,9.47,VERY_LOW
426,LOWER PRA RURAL BANK LTD.,520,225.0,80.0,100.0,0.13,1,91.0,STRONG,9.47,VERY_LOW
458,AMENFIMAN RURAL BANK LTD.,520,151.05,93.33500000000001,100.0,0.2,2,97.0,STRONG,10.27,VERY_LOW
516,abeaseman shs,596,600.0,23.333333333333332,100.0,0.02,3,65.5,GOOD,11.07,VERY_LOW
516,abeaseman shs,597,600.0,36.666666666666664,100.0,0.02,3,71.5,GOOD,11.07,VERY_LOW
823,NZEMA MANLE RURAL BANK LTD.,520,225.0,100.0,100.0,0.13,1,100.0,STRONG,9.47,VERY_LOW
961,NZEMA MANLE RURAL BANK LTD.,520,134.76,83.33500000000001,100.0,0.23,2,92.5,STRONG,10.27,VERY_LOW
1035,ASANTE AKYEM RURAL BANK LTD.,520,97.94,90.0,100.0,0.30500000000000005,2,95.5,STRONG,10.27,VERY_LOW
1094,NZEMA MANLE RURAL BANK LTD.,520,112.5,100.0,100.0,0.27,1,100.0,STRONG,9.47,VERY_LOW
1188,UPPER AMENFI RURAL BANK LTD.,520,62.07,100.0,100.0,0.48,1,100.0,STRONG,9.47,VERY_LOW
1363,NSOATREMAN RURAL BANK LTD.,520,81.82,100.0,100.0,0.37,1,100.0,STRONG,9.47,VERY_LOW
1494,AMANSIE WEST RURAL BANK LTD.,520,60.0,90.0,100.0,0.5,1,95.5,STRONG,9.47,VERY_LOW
1668,NZEMA MANLE RURAL BANK LTD.,520,105.0,85.0,100.0,0.29000000000000004,2,93.25,STRONG,10.27,VERY_LOW
1670,Golden Gate International School,256,300.0,17.5,100.0,0.13,1,62.88,GOOD,9.47,VERY_LOW
1694,KWAHU PRASO RURAL BANK LTD.,520,265.90999999999997,95.0,100.0,0.22,2,97.75,STRONG,10.27,VERY_LOW
1782,ATWIMA RURAL BANK LTD.,520,257.14,83.33,100.0,0.12,1,92.5,STRONG,9.47,VERY_LOW
1985,ARB APEX BANK PLC,520,150.0,90.0,100.0,0.2,1,95.5,STRONG,9.47,VERY_LOW
2353,ODOTOBRI RURAL BANK LTD.,520,180.0,83.33,100.0,0.17,1,92.5,STRONG,9.47,VERY_LOW
2373,KINTAMPO RURAL BANK LTD.,520,89.13,83.33,100.0,0.33999999999999997,2,92.5,STRONG,10.27,VERY_LOW
2374,UPPER AMENFI RURAL BANK LTD.,520,120.535,96.66499999999999,100.0,0.25,2,98.5,STRONG,10.27,VERY_LOW
2394,Starlife Assurance,600,39.13,93.33,100.0,0.38,1,97.0,STRONG,9.47,VERY_LOW
2394,Starlife Assurance,601,50.0,56.0,100.0,0.5,1,80.2,STRONG,9.47,VERY_LOW
2626,AVENOR RURAL BANK LTD.,520,48.65,80.0,100.0,0.62,1,91.0,STRONG,9.47,VERY_LOW
2723,FIASEMAN RURAL BANK LTD.,520,76.19,93.33500000000001,100.0,0.4,2,97.0,STRONG,10.27,VERY_LOW
3204,EAST AKIM RURAL BANK LTD.,520,360.0,100.0,100.0,0.08,1,100.0,STRONG,9.47,VERY_LOW
3497,CAPITAL RURAL BANK PLC,520,190.0,93.33500000000001,100.0,0.16,2,97.0,STRONG,10.27,VERY_LOW
3515,ANLO RURAL BANK LIMITED,520,181.15333333333334,82.22333333333334,100.0,0.17333333333333334,3,92.0,STRONG,11.07,VERY_LOW
3669,AMANSIE WEST RURAL BANK LTD.,520,128.57,80.0,100.0,0.23,1,91.0,STRONG,9.47,VERY_LOW
3715,KaPPS,623,88.89,80.0,100.0,0.45,1,91.0,STRONG,9.47,VERY_LOW
3715,KaPPS,624,266.67,82.5,100.0,0.15,1,92.12,STRONG,9.47,VERY_LOW
3715,KaPPS,626,126.32,97.5,100.0,0.32,1,98.88,STRONG,9.47,VERY_LOW
3715,KaPPS,627,266.67,92.5,100.0,0.15,1,96.62,STRONG,9.47,VERY_LOW
3768,ARB APEX BANK PLC,520,190.0,95.0,100.0,0.16,2,97.75,STRONG,10.27,VERY_LOW
3921,KAASEMAN RURAL BANK LTD.,520,62.07,93.33,100.0,0.48,1,97.0,STRONG,9.47,VERY_LOW
4227,UPPER AMENFI RURAL BANK LTD.,520,88.39500000000001,93.33500000000001,100.0,0.37,2,97.0,STRONG,10.27,VERY_LOW
4257,AVENOR RURAL BANK LTD.,520,90.0,93.33,100.0,0.33,1,97.0,STRONG,9.47,VERY_LOW
